Date	Device Name	Description	Novel	Author	Built?	By Whom?	Product	First Year Made	Additional Details	Bits or Atoms?	Companies Working on This	Link to Doc With Technical Details	Requires Changes to Laws of Physics
	1974	Pressor Field	A force field that pressed against anything that encountered it.	The Forever War	Joe Haldeman	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Superconductor of Heat	A light metal that accepts heat applied to its surface, and then dissipates the energy throughout the material, leaving the temperature of the material unchanged.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Assault Ship	A one-way, one-use spacecraft for depositing troops at the scene of a space battle.	The Forever War	Joe Haldeman	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Powered Suit with Trauma Maintenance	A powered suit (or powered armor) that is set up to save as much of your body as possible in worse case scenarios.	The Forever War	Joe Haldeman	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Langston Field	A protective energy shield.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Skull Bug	A small electronic device implanted in the cranium at birth; used for monitoring and control.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Cryocapsule	A spaceship capsule that contains astronauts in special coffins, in suspended animation.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Acceleration Shell	A special suit designed to help people survive accelerations of up to twenty-five gravities.	The Forever War	Joe Haldeman	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Acceleration Chair	A specially-designed chair used to help crew stay mobile during periods of high acceleration.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Seed Bomb	A tiny explosive that can be embedded under the skin.	Flow My Tears, The Policeman Said	Philip K. Dick	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Frictionless Toilet	A toilet bowl that does not require water, because its surface is frictionless.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Floating Building	An apartment building that floats a few feet off the ground.	Flow My Tears, The Policeman Said	Philip K. Dick	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Cryonaut	An astronaut placed in cryonic sleep.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Home Ad Blocker	Device insulates house against intrusion by 3D advertisements.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Gee Bath	Essentially a waterbed designed to help older or untrained people cope with high acceleration aboard spacecraft.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Cushion Fence	Gentle force field	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Harvesting Saturn's Rings	Mining the rings for industrial purposes.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Time Dingbat	Nickname for a time machine; used for a kind of WPA-like program for the past.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Alderson Point	One end of a tramline, a path between stars that can be traversed using a hyperdrive engine.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Placental Decanters	Perfect human bodies with control implants for remote use.	The Girl Who Was Plugged In	James Tiptree, Jr.	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Atmosphere Control	Recently terraformed planets require constant maintenance.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Laser Finger	Special powered suit add-on makes you even quicker on the draw.	The Forever War	Jack C. Haldeman	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Tramline	The line along which hyperspace (instantaneous travel) travel is possible.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Collapsar Jump	Travel between collapsed stars in no time at all.	The Forever War	Joe Haldeman	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Numbitol	You guessed it, a topical anesthetic.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Atoms			
	1974	Molemen		The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	N/A			
	1974	Projection	A means of projecting your image to a distant place.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Bits			
	1974	Projection Commercials	A three-dimensional advertisement that is placed in your path in a public place like a bar.	The Computer Connection	Alfred Bester	No	N/A	N/A	N/A	N/A	Bits			
	1974	Phone-Grid Transex Network	Addictive network-enhanced sexuality.	Flow My Tears, The Policeman Said	Philip K. Dick	No	N/A	N/A	N/A	N/A	Bits			
	1974	Fyunch(click)	An alien assigned to become an expert in just one person.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	No	N/A	N/A	N/A	N/A	Bits			
	1974	EEG-Gram Projection	Detection of unique characteristics at a distance.	Flow My Tears, The Policeman Said	Philip K. Dick	No	N/A	N/A	N/A	N/A	Bits			
	1974	Eccentric Projection	Remote manipulation of a body not your own.	The Girl Who Was Plugged In	James Tiptree, Jr.	No	N/A	N/A	N/A	N/A	Bits			
	1974	Handbag Computer	Device capable of carrying on your conversation for you.	The Futurological Congress	Stanislaw Lem	Yes	Various	Smartphones	2000s	AI chatbot	Bits			
	1974	Picphone	A small telephone that has a screen to show pictures.	Flow My Tears, The Policeman Said	Philip K. Dick	Yes	Various	Video phones	2000s	Skype, FaceTime	Bits			
	1974	Armor Cloth	Extremely tough synthetic fabric.	The Mote in God's Eye	Larry Niven (w/J. Pournelle)	Yes	Various	Bulletproof fabrics	1970s	Kevlar	Atoms			
	1974	Robot Gas Station	An entirely automated station for dispensing fuel to consumer vehicles.	Flow My Tears, The Policeman Said	Philip K. Dick	Yes	Various	Self-service gas stations	1970s	No human attendant	Atoms			
	1974	Microtransmitter Dot	A tiny transmitter placed on ID cards, used to track ID holders.	Flow My Tears, The Policeman Said	Philip K. Dick	Yes	Various	RFID tags	1980s	Wireless identification	Bits			
	1974	Talking Pamphlet	An instructional pamphlet that instructs you through ordinary speech.	Ellison Wonderland	Harlan Ellison	Yes	Audible	Audiobooks	1970s	Recordings	Bits			
	1975	Modded Dog	A canine whose ancestors were genetically modified for higher intelligence; the trait breeds true in offspring.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Atoms			
	1975	Inflatable Church	A church using an inflatable projection screen as an altar.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Atoms			
	1975	Autoporter	A device that carries your bag for you at airports.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Atoms			
	1975	Personal Smelter	A device used to reduce metallic objects (like coins, pots, cables) to an ingot with known value.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Atoms			
	1975	Coley Group	A musical form that involves dancing in a field of weak microwaves.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Atoms			
	1975	Paid Avoidance Zone	An area where the inhabitants agree, for a government-paid fee, to live without sophisticated services.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Atoms			
	1975	Data-Retrieval Mode	A system for getting the thoughts and images out of a person's mind; recovering the data from a brain storage device.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Bits			
	1975	Net Shutdown Worm	A tapeworm designed to shut down a nationwide network in the event of national emergency.	The Shockwave Rider	John Brunner	No	N/A	N/A	N/A	N/A	Bits			
	1975	Electronic Voting	Using computer terminals to register votes from citizens.	The Shockwave Rider	John Brunner	Yes	Various	Electronic voting	2000s	Controversial	Bits			
	1975	Tiered Internet	The idea that some forms of Internet network traffic should be given priority over others.	The Shockwave Rider	John Brunner	Yes	Various	Net neutrality	2000s	Network management	Bits			
	1975	Satellite Search and Destroy	Destroying satellites in orbit.	The Shockwave Rider	John Brunner	Yes	US military	Anti-satellite weapon	1960s	ASAT missile	Atoms			
	1975	Retaliatory Tapeworm (Counter-Worm)	Using computers to deliberately damage another person's reputation and well-being.	The Shockwave Rider	John Brunner	Yes	Various	Malware	1970s	Computer virus	Bits			
	1975	Computer Worm (Tapeworm)	The first description of a set of computer codes that moves from one computer to another on a network as a coherent entity.	The Shockwave Rider	John Brunner	Yes	Various	Computer worm	1970s	Malware	Bits			
	1975	Hearing Aid	A service that allows people to anonymously talk with another person who only listens.	The Shockwave Rider	John Brunner	Yes	Various	Crisis hotlines	1960s	Confidential support	Bits			
	1975	Delphi Pool	A large group of people used as a statistical sampling resource; even if the correct answer is not known, responses tend to cluster around the correct answer.	The Shockwave Rider	John Brunner	Yes	RAND	Delphi method	1950s	Group decision-making	Bits			
	1975	National Network Surveillance	A system for providing the government with a way to monitor computer network use.	The Shockwave Rider	John Brunner	Yes	NSA	PRISM	2007	Mass surveillance	Bits			
	1975	Data-Net	An early mention of the idea of a nationwide data network.	The Shockwave Rider	John Brunner	Yes	DARPA	Internet	1969	ARPANET	Bits			
	1975	Government Data Transparency	The idea that all of the information available to the government should be posted online and be easily accessible to everyone.	The Shockwave Rider	John Brunner	Partial	Various	FOIA	1966	Freedom of Information Act	Bits			
	1976	Star Stone (Speicus)	An artificial intelligence shaped like a rock, which can communicate with living organisms telepathically.	Doorways in the Sand	Roger Zelazny	No	N/A	N/A	N/A	Fictional AI in the novel	Bits			
	1976	Skyhook	Part dirigible, part plane.	West of Honor	Jerry Pournelle	No	N/A	N/A	N/A	Fictional aircraft	Atoms			
	1976	Sandtrout Glove	A living glove, formed of live creatures.	Children of Dune	Frank Herbert	No	N/A	N/A	N/A	Fictional biotechnology	Atoms			
	1976	Habitable Exoplanet Moon	An Earthlike moon that orbits a gas giant.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional celestial body	Atoms			
	1976	Trans-Space Transmission	A curious method of communication between worlds.	The Moon Moth	Jack Vance	No	N/A	N/A	N/A	Fictional communication technology	Bits			
	1976	Comlink	Short for communications link; a small portable communicator.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional communication technology in Star Wars	Atoms			
	1976	Keyboard With Changing Keys	A computer keyboard with keys faced with little displays, so the label could change based on the application or language.	Imperial Earth	Arthur C. Clarke	No	N/A	N/A	N/A	Fictional computer interface	Bits			
	1976	Neuristor Brain	A computer device made up of neuristors.	My Name is Legion	Roger Zelazny	No	N/A	N/A	N/A	Fictional computer technology	Bits			
	1976	Lunar Disneyland	A vast cavern excavated on the Moon - used for entertainment. Very large scale entertainment.	The Phantom of Kansas	John Varley	No	N/A	N/A	N/A	Fictional concept	Atoms			
	1976	Environmental Happening	Weather created as a work of art.	The Phantom of Kansas	John Varley	No	N/A	N/A	N/A	Fictional concept	N/A			
	1976	Empty Man	A fully-functioning body, the personality of which had been wiped clean.	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Fictional concept in the novel	Atoms			
	1976	Dray-Fish	Large fish trained to be harnessed to large houseboats.	The Moon Moth	Jack Vance	No	N/A	N/A	N/A	Fictional creature in the novel	Atoms			
	1976	Strakh	The prestige or social prominence which serves as a medium of exchange on the planet Sirene.	The Moon Moth	Jack Vance	No	N/A	N/A	N/A	Fictional currency	Bits			
	1976	Sensor Arm	An extendable multipurpose sensor cluster.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional droid component in Star Wars	Atoms			
	1976	R2-D2 (Artoo-Detoo)	Now the generic term for a small, maneuverable robot.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional droid in Star Wars	Atoms			
	1976	Smother-Charge	Molecularly-gimmicked explosive.	My Name is Legion	Roger Zelazny	No	N/A	N/A	N/A	Fictional explosive	Atoms			
	1976	3D 'Chess' Game Board	A flatbed 3D display which is used to play chess-style board games in three dimensions.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional gaming technology	Bits			
	1976	RUMOKO	A project to create additional land surface by deliberate stimulation of undersea volcanoes.	My Name is Legion	Roger Zelazny	No	N/A	N/A	N/A	Fictional geoengineering project	Atoms			
	1976	Bubble City	Underwater domes provide living space for large communities.	My Name is Legion	Roger Zelazny	No	N/A	N/A	N/A	Fictional habitation	Atoms			
	1976	Moon Moth	A rather plain and timid mask.	The Moon Moth	Jack Vance	No	N/A	N/A	N/A	Fictional item in the novel	Atoms			
	1976	Nemourlon	Material for special body armor.	West of Honor	Jerry Pournelle	No	N/A	N/A	N/A	Fictional material	Atoms			
	1976	RNA Shots	An injection prepared from the tissues of a person with knowledge or experience that you need.	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Fictional medical technology	Atoms			
	1976	Ixian Sight Mask	Device to allow the blind to see.	Children of Dune	Frank Herbert	No	N/A	N/A	N/A	Fictional medical technology	Bits			
	1976	Anabolic Protoplaser	Uses laser light to repair wounds.	Spock, Messiah!	Theodore Cogswell (w/C. Spano	No	N/A	N/A	N/A	Fictional medical technology	Bits			
	1976	Young-Forever	A very particular formula for human immortality, which solves the most serious attendant problem (population explosion).	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Fictional medicine	Atoms			
	1976	Stimic	A musical instrument consisting of three flutelike tubes equipped with plungers; thumb and forefinger squeeze a bag to force air across the mouthpieces.	The Moon Moth	Jack Vance	No	N/A	N/A	N/A	Fictional musical instrument in the novel	Atoms			
	1976	Supralight Drive	A propulsion system that allows a spacecraft to travel faster than light.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional propulsion technology in Star Wars	Atoms			
	1976	Tagalong	A backpack with legs; a robot that will carry things for you and match your movements.	In the Bowl	John Varley	No	N/A	N/A	N/A	Fictional robot	Atoms			
	1976	Hangman	A telefactoring device that also was able to function independently.	My Name is Legion	Roger Zelazny	No	N/A	N/A	N/A	Fictional robot technology	Atoms			
	1976	Droid (Star Wars)	"A contraction of ""android"", it actually describes one of a variety of robots."	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional robot technology in Star Wars	Atoms			
	1976	Womb Room	The ultimate ship's bridge.	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Fictional spacecraft component	Atoms			
	1976	T.I.E. Fighter (Tie Fighter)	A highly maneuverable fighter spacecraft using an ion drive propulsion system.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional spacecraft in Star Wars	Atoms			
	1976	Escape Pod (Life Pod, Boat Pod)	"A small ship used solely as a ""life boat."""	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional spacecraft in Star Wars	Atoms			
	1976	Death Star	The logical endpoint of a galactic empire.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional superweapon in Star Wars	Atoms			
	1976	Zero-Time Jail	A building in which an energy field prevents time from passing.	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Fictional technology	Bits			
	1976	Magnetic Projector	Projects a vortex of magnetic force.	The Space Beyond	John W. Campbell	No	N/A	N/A	N/A	Fictional technology	Bits			
	1976	Restraining Bolt	A device that makes sure a robot does what you want (rather than what it wants).	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional technology in Star Wars	Atoms			
	1976	Vaporator	A device which extracted moisture from the air for use in farming.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional technology in Star Wars	Atoms			
	1976	Remote (or Seeker Remote)	A training aid for use by Jedi knights.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional technology in Star Wars	Atoms			
	1976	Deflector Shield	A energy field used to shunt the energy of offensive weapons aside.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional technology in Star Wars	Bits			
	1976	Dog Suit	A disguise worn by an alien detective, allowing him to look just like a domestic canine.	Doorways in the Sand	Roger Zelazny	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1976	Rhennius Machine	Device of alien manufacture, which will reverse, or turn inside out, any object passed through its mobilator.	Doorways in the Sand	Roger Zelazny	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1976	Sonic Curtain (Sound Lock)	An undersea sound curtain that keeps larger animals out.	My Name is Legion	Roger Zelazny	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1976	Landspeeder	A small repulsion-based hovercraft capable of high speeds over flat terrain.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional vehicle in Star Wars	Atoms			
	1976	Sandcrawler	A very large mobile home, used by jawas on the deserts of Tatooine.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional vehicle in Star Wars	Atoms			
	1976	Bubble Car	Self-steering, hovering, this is the car of the future.	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Fictional vehicle technology	Atoms			
	1976	Lightsaber	A sword the blade of which is formed by a beam of visible light which cuts like a laser.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional weapon in Star Wars	Atoms			
	1976	Ion Cannon	Fires blasts of charged particles.	Star Wars	George Lucas	No	N/A	N/A	N/A	Fictional weapon in Star Wars	Atoms			
	1976	Asymptotic Drive	A propulsion drive that used a tiny black hole to generate energy.	Imperial Earth	Arthur C. Clarke	No	N/A	N/A	N/A	Hypothetical propulsion system	Atoms			
	1976	Bussard Ramjet	Propulsion method that scoops hydrogen atoms from space via electromagnetic fields.	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Hypothetical propulsion system	Atoms			
	1976	Gravity-assisted Subway	The fastest way between continents (that does not entail leaving the ground).	A World Out of Time	Larry Niven	No	N/A	N/A	N/A	Hypothetical transportation system	Atoms			
	1976	Biological Package Probe		A World Out of Time	Larry Niven	No	N/A	N/A	N/A	N/A	Atoms			
	1976	Automatic Control Car	An autonomous vehicle.	Imperial Earth	Arthur C. Clarke	Yes	Researchers	Self-driving cars	1970s	Early autonomous vehicle prototypes	Bits			
	1976	Orbital Factory	Putting manufacturing in space, orbiting the planet.	Bind Your Sons To Exile	Jerry Pournelle	Yes	Varda	N/A	2023	Fictional space industry	Atoms	Varda		
	1976	Robot Surgeon	An autonomous robotic surgeon.	The Bicentennial Man	Isaac Asimov	Yes	Intuitive Surgical	da Vinci Surgical System	2000	Robotic surgery system	Atoms			
	1976	Minisec	A device like a personal digital assistant (PDA) today.	Imperial Earth	Arthur C. Clarke	Yes	Psion	Psion Organiser	1984	Early PDA	Bits			
	1976	Comsole (Home Communications Console)	A home computer, connected to data services.	Imperial Earth	Arthur C. Clarke	Yes	Apple	Apple II	1977	One of the first mass-market home computers	Bits			
	1976	Poster TV	"This display gives new meaning to the term ""flat screen."""	A World Out of Time	Larry Niven	Yes	Sony	Flat panel TV	1964	Early LCD screen prototype	Bits			
	1977	Daily Schedule (DS)	The DS was an artificially intelligent day planner, a schedule keeper with voice recognition features; it also talked back when necessary.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional AI technology in the novel	Bits			
	1977	Taprisiot	A kind of symbiote, which attuned itself to the user, allowing an expansion of consciousness - telepathic communication anywhere in the galaxy in real time.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional biotechnology in the novel	Atoms			
	1977	Uniflesh	A type of artificial skin and underlying flesh.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional biotechnology in the novel	Atoms			
	1977	Rogue World	A celestial nomad, a planetary body that is not tied to a particular sun.	Dying of the Light	George RR Martin	No	N/A	N/A	N/A	Fictional celestial object in the novel	Atoms			
	1977	Darkdawn City	An entire city that is tuned to be played by the winds.	Dying of the Light	George RR Martin	No	N/A	N/A	N/A	Fictional city in the novel	Atoms			
	1977	Javelin	A spacer who modified herself to more easily live in space.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional concept in the novel	Atoms			
	1977	Alien Zoo	A zoo that brings together plants and animals from many planets.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional concept in the novel	Atoms			
	1977	Caleban Contact	A form of telepathy based on the use of unimaginably enormous amounts of energy.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional concept in the novel	Bits			
	1977	Holo-Printing	Errors introduced in data storage media when recording under improper conditions.	A Scanner Darkly	Philip K. Dick	No	N/A	N/A	N/A	Fictional concept in the novel	Bits			
	1977	Pork Tree	A plant that produces an analog to animal meat.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional creature in the novel	Atoms			
	1977	Bedog	A sentient creature designed to be a bed.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional creature in the novel	Atoms			
	1977	Symb	A symbiont life form that provides its human with life-giving energy.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional creature in the novel	Atoms			
	1977	Substance D	An addictive, psychoactive drug.	A Scanner Darkly	Philip K. Dick	No	N/A	N/A	N/A	Fictional drug in the novel	Atoms			
	1977	Glowstone	A mineral that absorbs light by day and emits it by night.	Dying of the Light	George RR Martin	No	N/A	N/A	N/A	Fictional material in the novel	Atoms			
	1977	Chameleon Cloth	Clothing that changes color and pattern to match its surroundings.	Dying of the Light	George RR Martin	No	N/A	N/A	N/A	Fictional material in the novel	Atoms			
	1977	Cephalochromoscope (Cephscope)	A brain-scan device with a screen to display neural patterns.	A Scanner Darkly	Philip K. Dick	No	N/A	N/A	N/A	Fictional medical technology in the novel	Bits			
	1977	Taprisiot Monitor Bead	A small bead to be swallowed that allowed the thoughts of a person to be transmitted and recorded during a specified interval.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional surveillance technology in the novel	Bits			
	1977	Transmitter Eyes	Closed circuit cameras that provided sight and sound to remote viewers of the Courtarena who wish to remain anonymous.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional surveillance technology in the novel	Bits			
	1977	Graluz	A contained, concealed breeding pond for the frog-like Gowachin.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Genoprinter	A device that does a 'live capture' of a biometric skin sample.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Grapple Tracks	A means of automating the process of parking and releasing passenger vehicles from a parking garage.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Holomist	A means of projecting a commercial message onto a fine spray.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Sky-Scoot	A patch of antigravity foil used for flying.	Dying of the Light	George RR Martin	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Centrifuge Room	A small room on a planetoid that is spun to create artificial gravity.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Life Bank	A storage facility with the genetic material that was produced by Earth's ecosystem.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Scramble Suit	A superthin membrane upon which are projected the characteristics of a million different people, it confers instant anonymity.	A Scanner Darkly	Philip K. Dick	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Ghostsmoke	An advertisement projected onto a fine mist.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Gravity Train	An underground railway system that utilizes gravity for acceleration.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Flexible Sprung Boots	Boots designed to be flexible when walking, but upon a hard step, will have a spring characteristic.	Inherit the Stars	James P. Hogan	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Zoo Fences	Caustic water moat	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Armored Clothing	Ordinary apparel that contained both armor and muscle amplification devices.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Swimming Tubes	Used to connect buildings for use by amphibious species.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Atoms			
	1977	Trimagniscope	A device that produced a usable cross-sectional image of any part of an object.	Inherit the Stars	James P. Hogan	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Null-Suit	A device that projects a field of force that acts like a space suit.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Personality Simulator	A device which, when fed enough data about a person, simulated their personality allowing the user to predict behavior in stated circumstances.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Nullfield	A field of energy that creates a barrier.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Memory Recording	A means of recording the entirety of a person's experience and personality.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Holo-Scanner	A small portable device that acquired holographic surveillance images.	A Scanner Darkly	Philip K. Dick	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Sonabarrier	A type of energy fence, used to keep birds away from particular areas.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Holo-Cube	A very large holographic display, that a person could walk into.	A Scanner Darkly	Philip K. Dick	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Network Monitoring Detection	Detection of someone monitoring your computer workstation	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Antiholo Generator	Dispels intrusive hologram advertisements.	The Ophiuchi Hotline	John Varley	No	N/A	N/A	N/A	Fictional technology in the novel	Bits			
	1977	Tracked Vehicle	A heavily armored vehicle, typical of those in use, with a remarkable agility.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional vehicle in the novel	Atoms			
	1977	Skitter	A small passenger vehicle, for two beings, which uses a steering bar. It is parked in a structure that parks and releases vehicles automatically.	The Dosadi Experiment	Frank Herbert	No	N/A	N/A	N/A	Fictional vehicle in the novel	Atoms			
	1977	High Kavalaan Aircar	Flying SUV equipped with laser weapons.	Dying of the Light	George RR Martin	No	N/A	N/A	N/A	Fictional vehicle in the novel	Atoms			
	1977	Odalarm	An alarm clock that awakens the sleeper with a selected odor.	The Dosadi Experiment	Frank Herbert	Yes	Engineers	Scent alarm clock	1970s	Wake up to smells instead of sound	Atoms			
	1977	Briefcase Computer	A portable computer workstation.	Inherit the Stars	James P. Hogan	Yes	IBM	Portable computer	1975	Early laptop prototype	Bits			
	1978	Holopad	A small display like an iPad that shows 3D images.	The Fountains of Paradise	Arthur C. Clarke	Yes	Various	Holographic display	1990s	N/A	Atoms			
	1978	1D Diamond Crystal	A continuous pseudo-one dimensional diamond crystal- maybe a nanotube?	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
	1978	Spinnerettes	A device that will unspool a nanowire filament and then pull it back in.	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
	1978	Space Elevator (Orbital Tower)	A physical link between a point on the surface of the Earth and a satellite in geosynchronous orbit.	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
	1978	Spider Space Elevator Test Vehicle	A robotic testing device for the cables of a space elevator.	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
	1978	Hyperfilament	A very high tensile strength material structured as a long thin line or ribbon.	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
	1978	Orbiting Factories	Manufacturing centers in orbit around the Earth.	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
	1978	Operation Cleanup	The program that removed space debris in LEO that could harm the space elevator.	The Fountains of Paradise	Arthur C. Clarke	No	N/A	N/A	N/A	N/A	Atoms			
